time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.739994,-0.000025,-0.001861,0.000090
0.744994,-0.000026,-0.001549,0.000060
0.749994,-0.000027,-0.001335,0.000034
0.754994,-0.000028,-0.001004,0.000009
0.759994,-0.000030,-0.000775,-0.000004
0.764994,-0.000030,-0.000453,-0.000027
0.769994,-0.000032,-0.000251,-0.000029
0.774994,-0.000034,0.000034,-0.000014
0.779994,-0.000036,0.000214,0.000004
0.784993,-0.000038,0.000465,0.000037
0.789993,-0.000040,0.000641,0.000057
0.794993,-0.000041,0.000883,0.000085
0.799993,-0.000042,0.001046,0.000105
0.804993,-0.000042,0.001262,0.000128
0.809993,-0.000042,0.001395,0.000127
0.814993,-0.000042,0.001579,0.000102
0.819993,-0.000041,0.001688,0.000095
0.824993,-0.000040,0.001860,0.000092
0.829993,-0.000040,0.001956,0.000089
0.834993,-0.000042,0.002095,0.000069
0.839993,-0.000042,0.002186,0.000068
0.844993,-0.000043,0.002341,0.000084
0.849993,-0.000043,0.002450,0.000082
0.854993,-0.000043,0.002611,0.000063
0.859993,-0.000043,0.002693,0.000036
0.864992,-0.000044,0.002785,0.000018
0.869992,-0.000044,0.002847,0.000009
0.874992,-0.000044,0.002919,0.000006
0.879992,-0.000045,0.002969,0.000002
0.884992,-0.000046,0.003050,0.000003
0.889992,-0.000047,0.003094,-0.000001
0.894992,-0.000048,0.003140,-0.000005
0.899992,-0.000050,0.003161,-0.000012
0.904992,-0.000051,0.003181,-0.000026
0.909992,-0.000052,0.003191,-0.000169
0.914992,-0.000058,0.003202,-0.000753
0.919992,-0.000069,0.003203,-0.001421
0.924992,-0.000100,0.003169,-0.002876
0.929992,-0.000133,0.003161,-0.004050
0.934992,-0.000203,0.003166,-0.005874
0.939991,-0.000262,0.003155,-0.007016
0.944991,-0.000366,0.003120,-0.008380
0.949991,-0.000440,0.003076,-0.008972
0.954991,-0.000545,0.002959,-0.009391
0.959991,-0.000603,0.002835,-0.009352
0.964991,-0.000656,0.002576,-0.008911
0.969991,-0.000672,0.002377,-0.008439
0.974991,-0.000665,0.002052,-0.007562
0.979991,-0.000645,0.001837,-0.006940
0.984991,-0.000601,0.001533,-0.006045
0.989991,-0.000566,0.001352,-0.005522
0.994991,-0.000511,0.001110,-0.004897
0.999991,-0.000480,0.000987,-0.004582
1.004991,-0.000441,0.000841,-0.004257
1.009991,-0.000422,0.000765,-0.004118
1.014991,-0.000404,0.000685,-0.004033
1.019992,-0.000402,0.000659,-0.004025
1.024992,-0.000421,0.000672,-0.004052
1.029992,-0.000444,0.000702,-0.004074
1.034992,-0.000504,0.000788,-0.004090
1.039993,-0.000555,0.000865,-0.004083
1.044993,-0.000646,0.001000,-0.004028
1.049993,-0.000713,0.001097,-0.003968
1.054993,-0.000825,0.001249,-0.003863
1.059994,-0.000891,0.001334,-0.003786
1.064994,-0.000958,0.001407,-0.003538
1.069994,-0.000981,0.001419,-0.003093
1.074994,-0.000973,0.001388,-0.001867
1.079994,-0.000944,0.001342,-0.000681
1.084995,-0.000879,0.001266,0.001572
1.089995,-0.000821,0.001205,0.003324
1.094995,-0.000722,0.001117,0.006236
1.099995,-0.000649,0.001057,0.008301
1.104996,-0.000544,0.000994,0.011337
1.109996,-0.000475,0.000964,0.013168
1.114996,-0.000387,0.000965,0.015257
1.119996,-0.000335,0.000996,0.016055
1.124997,-0.000257,0.001061,0.016419
1.129997,-0.000205,0.001118,0.016212
1.134997,-0.000122,0.001193,0.015353
1.139997,-0.000066,0.001245,0.014521
1.144997,0.000018,0.001322,0.013034
1.149998,0.000073,0.001360,0.011985
1.154998,0.000146,0.001383,0.010395
1.159998,0.000187,0.001369,0.009349
1.164998,0.000231,0.001305,0.007853
1.169999,0.000245,0.001198,0.006955
1.174999,0.000236,0.000935,0.005808
1.179999,0.000209,0.000696,0.005204
1.184999,0.000141,0.000284,0.004548
1.190000,0.000087,0.000022,0.004281
1.195000,-0.000004,-0.000353,0.004115
1.200000,-0.000071,-0.000596,0.004119
1.205000,-0.000165,-0.000895,0.004248
1.210001,-0.000218,-0.001039,0.004351
1.215001,-0.000293,-0.001214,0.004463
1.220001,-0.000330,-0.001286,0.004480
1.225001,-0.000362,-0.001323,0.004423
1.230001,-0.000374,-0.001317,0.004341
1.235002,-0.000377,-0.001269,0.004163
1.240002,-0.000374,-0.001227,0.004019
1.245002,-0.000359,-0.001145,0.003778
1.250002,-0.000348,-0.001091,0.003613
1.255003,-0.000353,-0.001065,0.003356
1.260003,-0.000365,-0.001068,0.003196
1.265003,-0.000390,-0.001087,0.002983
1.270003,-0.000401,-0.001092,0.002872
1.275004,-0.000421,-0.001105,0.002759
1.280004,-0.000436,-0.001116,0.002725
1.285004,-0.000462,-0.001136,0.002674
1.290004,-0.000482,-0.001153,0.002604
1.295004,-0.000490,-0.001145,0.002479
1.300005,-0.000484,-0.001122,0.002401
1.305005,-0.000471,-0.001079,0.002294
1.310005,-0.000465,-0.001055,0.002204
1.315005,-0.000476,-0.001053,0.002095
1.320006,-0.000491,-0.001063,0.002036
1.325006,-0.000509,-0.001073,0.001971
1.330006,-0.000512,-0.001066,0.001923
1.335006,-0.000500,-0.001033,0.001847
1.340007,-0.000497,-0.001019,0.001761
1.345007,-0.000481,-0.000986,0.001542
1.350007,-0.000467,-0.000961,0.001292
1.355007,-0.000469,-0.000955,0.000777
1.360008,-0.000485,-0.000973,0.000342
1.365008,-0.000504,-0.001002,-0.000381
1.370008,-0.000515,-0.001023,-0.000879
1.375008,-0.000513,-0.001033,-0.001617
1.380008,-0.000511,-0.001044,-0.002089
1.385009,-0.000513,-0.001073,-0.002764
1.390009,-0.000513,-0.001097,-0.003176
1.395009,-0.000515,-0.001137,-0.003706
1.400009,-0.000514,-0.001164,-0.004003
1.405010,-0.000502,-0.001193,-0.004384
1.410010,-0.000482,-0.001200,-0.004600
1.415010,-0.000442,-0.001194,-0.004858
1.420010,-0.000420,-0.001201,-0.005007
1.425011,-0.000382,-0.001200,-0.005221
1.430011,-0.000355,-0.001195,-0.005360
